memoryValue	dataType
Begin_t=472177122
0xb76ba184	(const char)
0xb76dbb00	(struct stat64)
0x80a8278	(u32)
0x80a8278	(u32)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0xb76cfff4	(u32)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb779f1f4	(const char)
0xb779ee99	(const char)
0xb779f190	(const char)
0xbfb0374c	(struct stat64)
0xb779f1f4	(const char)
0xb7780bb0	(const char)
0xbfb03880	(char)
0xbfb037a0	(struct stat64)
0xb76ba184	(const char)
0x80a8278	(u32)
0x80a8278	(u32)
0xb76dbb00	(struct stat64)
0xb76cfff4	(u32)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77001f4	(const char)
0xb76ffe99	(const char)
0xb7700190	(const char)
0xbf8bb83c	(struct stat64)
0xb77001f4	(const char)
0xb76e1bb0	(const char)
0xbf8bb970	(char)
0xbf8bb890	(struct stat64)
0x80a8278	(u32)
0x80a8278	(u32)
0xb76cfff4	(u32)
0xb76ba184	(const char)
0xb76dbb00	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77411f4	(const char)
0xb7740e99	(const char)
0xb7741190	(const char)
0xbf8ae44c	(struct stat64)
0xb77411f4	(const char)
0xb7722bb0	(const char)
0xbf8ae580	(char)
0xbf8ae4a0	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77111f4	(const char)
0xb7710e99	(const char)
0xb7711190	(const char)
0xbf8fb6bc	(struct stat64)
0xb77111f4	(const char)
0xb76f2bb0	(const char)
0xbf8fb7f0	(char)
0xbf8fb710	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77631f4	(const char)
0xb7762e99	(const char)
0xb7763190	(const char)
0xbfbc1a9c	(struct stat64)
0xb77631f4	(const char)
0xb7744bb0	(const char)
0xbfbc1bd0	(char)
0xbfbc1af0	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77f31f4	(const char)
0xb77f2e99	(const char)
0xb77f3190	(const char)
0xbff86aec	(struct stat64)
0xb77f31f4	(const char)
0xb77d4bb0	(const char)
0xbff86c20	(char)
0xbff86b40	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77bc1f4	(const char)
0xb77bbe99	(const char)
0xb77bc190	(const char)
0xbfbe80ec	(struct stat64)
0xb77bc1f4	(const char)
0xb779dbb0	(const char)
0xbfbe8220	(char)
0xbfbe8140	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb774b1f4	(const char)
0xb774ae99	(const char)
