memoryValue	dataType
Begin_t=472176660
0xb76be184	(const char)
0xb76dfb00	(struct stat64)
0xbf877976	(struct new_utsname)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x80a8278	(u32)
0x80a8278	(u32)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb76cfff4	(u32)
0xb77391f4	(const char)
0xb7738e99	(const char)
0xb7739190	(const char)
0xbfd820bc	(struct stat64)
0xb77391f4	(const char)
0xb771abb0	(const char)
0xbfd821f0	(char)
0xbfd82110	(struct stat64)
0xb76be184	(const char)
0x80a8278	(u32)
0x80a8278	(u32)
0xb76dfb00	(struct stat64)
0xb76e7000	(char)
0xb76cfff4	(u32)
0xb76e7000	(char)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77831f4	(const char)
0xb7782e99	(const char)
0xb7783190	(const char)
0xbfa2e8fc	(struct stat64)
0xb77831f4	(const char)
0xb7764bb0	(const char)
0xbfa2ea30	(char)
0xbfa2e950	(struct stat64)
0xb76bdd9c	(const char)
0xbf8775e8	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77e71f4	(const char)
0xb77e6e99	(const char)
0xb77e7190	(const char)
0xbff2dc8c	(struct stat64)
0xb77e71f4	(const char)
0xb77c8bb0	(const char)
0xbff2ddc0	(char)
0xbff2dce0	(struct stat64)
0xb76bdd9c	(const char)
0xbf8775e8	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0x823a008	(char __user *)
0xb77901f4	(const char)
0xb778fe99	(const char)
0xb7790190	(const char)
0xbff2d52c	(struct stat64)
0xb77901f4	(const char)
0xb7771bb0	(const char)
0xbff2d660	(char)
0xbff2d580	(struct stat64)
0xb76bdd9c	(const char)
0xbf8775e8	(struct stat64)
0xbfcf2680	(sigset_t)
0xbfcf1fb8	(int)
0x812a74c	(int)
0x8133380	(sigset_t)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
0xbfcf2304	(struct sigaction)
